SMILES,name,canvasUID,Source File,Source File Index,Molecular weight
CCOC(=O)c1noc(c12)c3c(OC2)cccc3,ZINC06724404,29,Ambinter.sdf,29,245.23692
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N3CCCCCC3,ZINC06914318,30,Ambinter.sdf,30,408.47693
CCOC(=O)c1cc(on1)-c2cc(c(cc2)OC)S(=O)(=O)N(CC3)CCC3C,ZINC06914321,31,Ambinter.sdf,31,408.47693
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c(c3)ccc(C)c3C,ZINC08586511,33,Ambinter.sdf,33,318.33503
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c3ccc(cc3)OC,ZINC08586533,34,Ambinter.sdf,34,320.30734
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c3ccc(cc3)OCC,ZINC08586548,35,Ambinter.sdf,35,334.33443
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c(cc3)ccc3C,ZINC08673969,36,Ambinter.sdf,36,304.30794
COc(cc1)ccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08674001,37,Ambinter.sdf,37,353.3345
Cc1c(C)cccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08674007,38,Ambinter.sdf,38,351.36219
[O-]C(=O)c1cc(on1)-c2cc(Cl)c(cc2)OC,ZINC08733294,39,Ambinter.sdf,39,252.63574
[O-]C(=O)c1cc(on1)-c(c2)ccc(c23)OCCCO3,ZINC08733302,40,Ambinter.sdf,40,260.22835
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c3ccc(Cl)cc3,ZINC08830910,41,Ambinter.sdf,41,324.72588
c1cc(Cl)ccc1OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830957,42,Ambinter.sdf,42,357.75304
N#Cc1ccc(cc1)OC(=O)c2cc(on2)-c(c3)ccc(c34)OCCO4,ZINC08830959,43,Ambinter.sdf,43,348.31789
