"","name.cmpd","paper.name","synth.name","IC50","IC50.low","IC50.up","SMILES"
"111","mPP-0217","21","Amb717",NA,NA,NA,"CC(C)(C)C1=CC(C(NC2=CC=C([N+]([O-])=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"115","mPP-0012","2","C12",111226.719853348,65986.2674943741,176463.543676116,"O=C(C1CCCN1S(=O)(C2=CC=C(N)C=C2)=O)O"
"117","mPP-0043","SI-32","Amb879",121805.57584344,80210.7343428002,184099.509363985,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(Cl)C=C3F)=O)=C2)=C1)=O"
"118","mPP-0022","4","C22",123050.648415796,43137.9854289163,348009.258152011,"CCOC(C1=CC=C(S(=O)(NC(SC2)=NC2=O)=O)C=C1)=O"
"119","mPP-0151","13","NJ1-32",134865.433821912,85265.4168763729,220173.493143124,"OC(C1=NNC(C2=CC=CC=C2)=C1)=O"
"122","mPP-0042","SI-29","Amb874",180211.163983028,130394.721205996,244991.319700656,"CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C=C3Cl)=O)=C2)=C1)=O"
"123","mPP-0209","22","Amb736",199856.523409978,155604.748305579,253963.036181633,"CC(C)(C)C1=CC(C(NCCCN2C=CN=C2)=O)=CC(C(C)(C)C)=C1"
"124","mPP-0209","22","Amb736",211323.479016071,170003.323108146,259646.318266126,"CC(C)(C)C1=CC(C(NCCCN2C=CN=C2)=O)=CC(C(C)(C)C)=C1"
"127","mPP-0074","SI-17","Amb377",239701.898726961,138110.426762467,449093.555775226,"CC1=CC(NS(=O)(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2OC)=O)=NO1"
"128","mPP-0073","SI-33","Amb370",280087.369486713,173123.822023307,452084.37342152,"COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=C(C=C3)Cl)=O"
"129","mPP-0219","SI-52","Amb355",340464.993121159,279974.297418207,414685.530636154,"CC(C)(C)C1=CC(C(OCCN2CCOCC2)=O)=CC(C(C)(C)C)=C1"
"130","mPP-0219","SI-52","Amb355",520005.626458092,363129.62900476,746421.039560051,"CC(C)(C)C1=CC(C(OCCN2CCOCC2)=O)=CC(C(C)(C)C)=C1"
"132","mPP-0244","25","NJ1-71",463747.246151162,336095.300523307,641625.601899627,"O=C(OC1=C(Br)C=CC=C1)C2=NOC(C3=CSC(C)=N3)=C2"
"134","mPP-0212","SI-49","Amb139",805627.841400941,366288.240306096,2601796.7450172,"CC(C)(C)C1=CC(CO)=CC(C(C)(C)C)=C1"
"135","mPP-0212","SI-49","Amb139",NA,NA,NA,"CC(C)(C)C1=CC(CO)=CC(C(C)(C)C)=C1"
"139","mPP-0248","10j","NJ1-78",1206020.63416559,612122.311431498,2620871.94321796,"CC(C)(C)C1=CC(C2=CC(C(OCC)=O)=NO2)=CC=C1"
