"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"35" "mPP-0052" NA "Amb149" 461.737002932658 306.647586425412 692.702054854535 NA
"201" "mPP-0219" "SI-52" "Amb355" 520.005626458092 363.12962900476 746.421039560051 NA
"47" "mPP-0101" NA "CB-21" 644.220283536862 389.420175200956 1063.99972610716 NA
"125" "NJ-35" NA "NJ-35" 1832.37940126485 808.490782389704 4234.32517953729 NA
"1107" "mPP-0056" "SI-24" "Amb519" NA NA NA NA
"222" "mPP-0057" "SI-28" "Amb529" NA NA NA NA
"316" "mPP-0065" NA "Amb032" NA NA NA NA
"416" "mPP-0035" NA "Amb221" NA NA NA NA
"514" "mPP-0041" "SI-23" "Amb861" NA NA NA NA
"1112" "mPP-0058" "SI-20" "Amb924" NA NA NA NA
"1212" "mPP-0059" "SI-27" "Amb930" NA NA NA NA
"1312" "mPP-0061" "SI-25" "Amb937" NA NA NA NA
"1412" "mPP-0062" "SI-26" "Amb950" NA NA NA NA
"1512" "mPP-0063" "SI-18" "Amb962" NA NA NA NA
"1612" "mPP-0064" "SI-22" "Amb890" NA NA NA NA
"1712" "mPP-0066" NA "Amb579" NA NA NA NA
"1812" "mPP-0067" NA "Amb583" NA NA NA NA
"2110" "mPP-0070" NA "Amb259" NA NA NA NA
"223" "mPP-0071" NA "Amb538" NA NA NA NA
"231" "mPP-0072" "SI-30" "Amb369" NA NA NA NA
"261" "mPP-0075" "SI-21" "Amb074" NA NA NA NA
"281" "mPP-0037" NA "Amb333" NA NA NA NA
"291" "mPP-0038" NA "Amb713" NA NA NA NA
"301" "mPP-0047" "SI-15" "Amb994" NA NA NA NA
"31" "mPP-0048" "SI-14" "Amb998" NA NA NA NA
"32" "mPP-0049" "SI-16" "Amb004" NA NA NA NA
"33" "mPP-0050" "SI-13" "Amb030" NA NA NA NA
"34" "mPP-0051" "SI-36" "Amb453" NA NA NA NA
"37" "mPP-0054" "SI-40" "Amb321" NA NA NA NA
"38" "mPP-0055" NA "Amb322" NA NA NA NA
"39" "mPP-0039" NA "Amb210" NA NA NA NA
"40" "mPP-0040" "SI-41" "Amb649" NA NA NA NA
"41" "mPP-0105" NA "LKC098" NA NA NA NA
"42" "mPP-0109" NA "LKE101" NA NA NA NA
"43" "mPP-0110" NA "LKE21" NA NA NA NA
"44" "mPP-0107" NA "LKE61" NA NA NA NA
"45" "mPP-0102" NA "TL4-31" NA NA NA NA
"46" "mPP-0100" NA "TL4-50.2" NA NA NA NA
"48" "mPP-0108" NA "CB-26" NA NA NA NA
"49" "mPP-0106" NA "MV-I-25" NA NA NA NA
"52" "mPP-0113" NA "PKII-52" NA NA NA NA
"55" "mPP-0097" NA "TL4-32" NA NA NA NA
"56" "mPP-0115" NA "TL4-28" NA NA NA NA
"59" "mPP-0104" NA "TL4-30.2" NA NA NA NA
"62" "mPP-0114" NA "AKIXVI123" NA NA NA NA
"63" "mPP-0118" NA "AKIXIII85" NA NA NA NA
"65" "mPP-0119" NA "AKIXIV165" NA NA NA NA
"70" "mPP-0112" NA "AKIXII33" NA NA NA NA
"71" "mPP-0121" NA "RPI-149" NA NA NA NA
"72" "mPP-0122" NA "RPI-155" NA NA NA NA
"73" "mPP-0116" NA "RPI-175" NA NA NA NA
"75" "mPP-0111" NA "RPII-015" NA NA NA NA
"84" "mPP-0080" NA "AKIXVIII7" NA NA NA NA
"89" "mPP-0076" NA "IAT-39-II" NA NA NA NA
"92" "mPP-0013" "SI-6" "C13" NA NA NA NA
"93" "mPP-0015" "SI-7" "C15" NA NA NA NA
"94" "mPP-0016" "SI-8" "C16" NA NA NA NA
"95" "mPP-0017" "SI-9" "C17" NA NA NA NA
"96" "mPP-0018" "SI-10" "C18" NA NA NA NA
"97" "mPP-0019" "SI-11" "C19" NA NA NA NA
"98" "mPP-0020" "SI-12" "C20" NA NA NA NA
"101" "mPP-0006" "SI-1" "C6" NA NA NA NA
"103" "mPP-0008" "SI-2" "C8" NA NA NA NA
"104" "mPP-0009" "SI-3" "C9" NA NA NA NA
"105" "mPP-0010" "SI-4" "C10" NA NA NA NA
"106" "mPP-0011" "SI-5" "C11" NA NA NA NA
"110" "mPP-0030" "11c" "MTI-71" NA NA NA NA
"112" "mPP-0031" "11l" "NJ1-33" NA NA NA NA
"113" "mPP-0031" "11l" "NJ1-39" NA NA NA NA
"114" "mPP-0031" "11l" "NJ1-39" NA NA NA NA
"115" "mPP-0032" "SI-35" "MTI-75" NA NA NA NA
"116" "mPP-0033" "SI-34" "MTI-77" NA NA NA NA
"118" "mPP-0252" NA "MTI-39" NA NA NA NA
"119" "mPP-0024" "11e" "MTI-43" NA NA NA NA
"122" "NJ-35" NA "NJ-35" NA NA NA NA
"123" "NJ-35" NA "NJ-35" NA NA NA NA
"126" "mPP-0027" "6" "MTI-59" NA NA NA NA
"128" "mPP-0130" NA "AKI-A17" NA NA NA NA
"129" "mPP-0131" NA "AKI-A41" NA NA NA NA
"130" "mPP-0132" NA "AKI-A55" NA NA NA NA
"131" "mPP-0133" NA "RA-B87+89" NA NA NA NA
"133" "mPP-0135" NA "RA-B51+57" NA NA NA NA
"134" "AKI XVIII129" NA "AKI XVIII129" NA NA NA NA
"136" "mPP-0138" NA "RA-B23+91" NA NA NA NA
"139" "mPP-0030" "11c" "DAP-06" NA NA NA NA
"140" "mPP-0159" NA "DAP-10a" NA NA NA NA
"141" "mPP-0160" "10g" "DAP-10b" NA NA NA NA
"142" "mPP-0161" "11g" "DAP-13" NA NA NA NA
"143" "mPP-0162" "10f" "DAP-16" NA NA NA NA
"144" "mPP-0163" "10c" "DAP-02" NA NA NA NA
"145" "mPP-0164" "10b" "DAP-14" NA NA NA NA
"146" "mPP-0146" "9h" "NJ1-4" NA NA NA NA
"147" "mPP-0147" "SI-37" "NJ1-31" NA NA NA NA
"148" "mPP-0148" "10a" "NJ1-19" NA NA NA NA
"149" "mPP-0149" "11a" "NJ1-20" NA NA NA NA
"150" "mPP-0150" "SI-42" "NJ1-21" NA NA NA NA
"152" "mPP-0152" "10n" "NJ1-24" NA NA NA NA
"153" "mPP-0153" "11n" "NJ1-26" NA NA NA NA
"154" "mPP-0154" "10l" "NJ1-27" NA NA NA NA
"155" "AIM A085CA" NA "AIM A085CA" NA NA NA NA
"158" "mPP-0190" NA "TL2-58" NA NA NA NA
"160" "mPP-0191" NA "TL2-41" NA NA NA NA
"161" "mPP-0177" NA "AKI-A133" NA NA NA NA
"162" "mPP-0178" NA "AKI-A141" NA NA NA NA
"166" "AKI-179" NA "AKI-179" NA NA NA NA
"167" "mPP-0183" NA "AKI-A63" NA NA NA NA
"168" "mPP-0184" NA "AKI-A111" NA NA NA NA
"171" "mPP-0155" "10m" "NJ1-28" NA NA NA NA
"172" "mPP-0156" "11m" "NJ1-38" NA NA NA NA
"173" "mPP-0157" "10k" "NJ1-30" NA NA NA NA
"174" "mPP-0026" "11k" "NJ1-35" NA NA NA NA
"175" "mPP-0158" NA "NJ1-36-37" NA NA NA NA
"176" "mPP-0031" "11l" "NJ1-33" NA NA NA NA
"177" "mPP-0166" NA "IM - M2" NA NA NA NA
"178" "mPP-0165" NA "IM - M1" NA NA NA NA
"179" "mPP-0167" NA "IM-M4" NA NA NA NA
"181" "mPP-0169" NA "IM-M7" NA NA NA NA
"182" "mPP-0170" NA "IM-M54" NA NA NA NA
"183" "mPP-0171" NA "IMT49" NA NA NA NA
"184" "mPP-0172" NA "IMT-30" NA NA NA NA
"185" "mPP-0173" NA "IMT32" NA NA NA NA
"186" "IM A07ICA" NA "IM A07ICA" NA NA NA NA
"187" "mPP-0205" "SI-44" "Amb929" NA NA NA NA
"192" "mPP-0210" "SI-51" "Amb194" NA NA NA NA
"193" "mPP-0211" "SI-48" "Amb753" NA NA NA NA
"194" "mPP-0212" "SI-49" "Amb139" NA NA NA NA
"195" "mPP-0213" "SI-46" "Amb841" NA NA NA NA
"196" "mPP-0214" "SI-45" "Amb497" NA NA NA NA
"198" "mPP-0216" "SI-47" "Amb586" NA NA NA NA
"200" "mPP-0218" "SI-50" "Amb954" NA NA NA NA
"202" "mPP-0220" "24" "Amb509" NA NA NA NA
"204" "mPP-0222" "23" "Amb684" NA NA NA NA
"205" "mPP-0029" "11d" "DAP-19" NA NA NA NA
"206" "mPP-0024" "11e" "DAP-21" NA NA NA NA
"207" "mPP-0023" "11b" "DAP-23" NA NA NA NA
"208" "AKI-B31" NA "AKI-B31" NA NA NA NA
"209" "mPP-0225" NA "AKI-B93" NA NA NA NA
"210" "mPP-0227" NA "AKI-B129" NA NA NA NA
"211" "mPP-0233" NA "AKI-B169" NA NA NA NA
"1013" "mPP-0332" NA "LD-9" 5.35576352261196 5.0512847047893 5.67694918160621 NA
"242" "mPP-0323" NA "IA-8" 42.8591330829205 37.4011279803295 48.3410228882409 NA
"224" "mPP-0324" NA "LD-1" 74.3061894237055 68.200166229179 80.8138501984758 NA
"2013" "mPP-0321" NA "IA-6" 85.8119840917202 72.283620139105 102.804295411927 NA
