"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0183" "AKI-A63" NA NA NA NA
"mPP-0184" "AKI-A111" NA NA NA NA
"mPP-0185" "AKI-A151" NA NA NA NA
"AKI-A195A" "AKI-A195A" NA NA NA NA
"NJI-28" "NJI-28" NA NA NA NA
"NJI-38" "NJI-38" NA NA NA NA
"NJI-30" "NJI-30" NA NA NA NA
"NJI-35" "NJI-35" NA NA NA NA
"NJI1-36,37" "NJI1-36,37" NA NA NA NA
"NJI-33,39" "NJI-33,39" NA NA NA NA
"mPP-0166" "IM - M2" NA NA NA NA
"mPP-0165" "IM - M1" NA NA NA NA
"mPP-0167" "IM-M4" NA NA NA NA
"mPP-0169" "IM-M7" NA NA NA NA
"mPP-0170" "IM-M54" NA NA NA NA
"mPP-0171" "IMT49" NA NA NA NA
"mPP-0172" "IMT-30" NA NA NA NA
"mPP-0173" "IMT32" NA NA NA NA
"IM A07ICA" "IM A07ICA" NA NA NA NA
"mPP-0205" "Amb929" NA NA NA NA
"mPP-0206" "Amb928" NA NA NA NA
"mPP-0208" "Amb838" NA NA NA NA
"mPP-0209" "Amb736" NA NA NA NA
"mPP-0210" "Amb194" NA NA NA NA
"mPP-0211" "Amb753" NA NA NA NA
"mPP-0212" "Amb139" NA NA NA NA
"mPP-0213" "Amb841" NA NA NA NA
"mPP-0214" "Amb497" NA NA NA NA
"mPP-0216" "Amb586" NA NA NA NA
"mPP-0217" "Amb717" NA NA NA NA
"mPP-0218" "Amb954" NA NA NA NA
"mPP-0219" "Amb355" NA NA NA NA
"mPP-0220" "Amb509" NA NA NA NA
"mPP-0222" "Amb684" NA NA NA NA
"AKI-B31" "AKI-B31" NA NA NA NA
"mPP-0225" "AKI-B93" NA NA NA NA
"mPP-0227" "AKI-B129" NA NA NA NA
"mPP-0233" "AKI-B169" NA NA NA NA
"NJ2-4" "NJ2-4" NA NA NA NA
"NJ1-53" "NJ1-53" NA NA NA NA
"NJ1-87cont" "NJ1-87cont" NA NA NA NA
"mPP-0246" "NJ1-76" NA NA NA NA
"mPP-0255" "NJ1-89" NA NA NA NA
"mPP-0248" "NJ1-78" NA NA NA NA
"NJ1-90-93rc" "NJ1-90-93rc" NA NA NA NA
"mPP-0199" "NJ1-49" NA NA NA NA
"mPP-0247" "NJ1-77" NA NA NA NA
"mPP-0254" "NJ1-88" NA NA NA NA
"OL-2" "OL-2" NA NA NA NA
"mPP-0261" "OL-rc" NA NA NA NA
