"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0025" NA "MTI-47" 38404.2996650182 19376.9615318261 99710.3428736265 "O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"mPP-0025" NA "NJ1-98" NA NA NA "O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"mPP-0215" NA "Amb777" 39417.5094887457 37871.6805355894 41072.9629431792 "CC(C)(C)C1=CC(C(NC2=NC=CS2)=O)=CC(C(C)(C)C)=C1"
"mPP-0028" "4" "MTI-61" 41078.4252615035 32706.9784067069 51500.4207561041 "CC1=NC(C2=CC(C(O)=O)=NO2)=CS1"
"mPP-0001" "2" "C1" 42477.2243194854 33121.5724299637 52475.516217718 "OCCS(=O)(C1=CC=C2C(OC(N2)=O)=C1)=O"
"mPP-0221" NA "Amb535" 46551.792074713 45226.4240130016 47776.1776265073 "CC(C)(C)C1=CC(C(NC2=CC=C(S(N)(=O)=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"mPP-0207" "17" "Amb486" 47161.1773953103 41329.356594371 53139.247278425 "CC(C)(C)C1=CC(C(NC2=CC=CC=C2Br)=O)=CC(C(C)(C)C)=C1"
"mPP-0029" "10d" "MTI-69" 48705.0169001055 47702.8209169151 49618.870835345 "O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"mPP-0029" "10d" "DAP-19" NA NA NA "O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"mPP-0154" "9m" "NJ1-27" 72395.0536129248 63969.6672786618 81932.5858063582 "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"mPP-0154" "9m" "NJ1-27" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"mPP-0056" NA "Amb519" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCOCC3)=O"
"mPP-0057" NA "Amb529" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCCC3)=O"
"mPP-0065" NA "Amb032" NA NA NA "O=C(O)C1=NOC2=C1CC3=C2C=C(OC)C(OC)=C3"
"mPP-0035" NA "Amb221" NA NA NA "ClC1=CC=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0041" NA "Amb861" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCOCC3)=O)=C2)=C1)=O"
"mPP-0042" NA "Amb874" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C=C3Cl)=O)=C2)=C1)=O"
"mPP-0043" NA "Amb879" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(Cl)C=C3F)=O)=C2)=C1)=O"
