"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0221" "Amb535" 46551.792074713 45223.597449661 47812.6498583538 "CC(C)(C)C1=CC(C(NC2=CC=C(S(N)(=O)=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"mPP-0207" "Amb486" 47161.1773953103 41362.7726600208 53082.2997458458 "CC(C)(C)C1=CC(C(NC2=CC=CC=C2Br)=O)=CC(C(C)(C)C)=C1"
"mPP-0029" "MTI-69" 48705.0169001055 47684.7888271177 49633.0189246569 "O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"mPP-0029" "DAP-19" NA NA NA "O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"mPP-0154" "NJ1-27" 72395.0536129248 63813.0780606271 81896.6226069275 "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"mPP-0154" "NJ1-27" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"mPP-0056" "Amb519" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCOCC3)=O"
"mPP-0057" "Amb529" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCCC3)=O"
"mPP-0065" "Amb032" NA NA NA "O=C(O)C1=NOC2=C1CC3=C2C=C(OC)C(OC)=C3"
"mPP-0035" "Amb221" NA NA NA "ClC1=CC=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0041" "Amb861" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCOCC3)=O)=C2)=C1)=O"
"mPP-0042" "Amb874" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C=C3Cl)=O)=C2)=C1)=O"
"mPP-0043" "Amb879" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(Cl)C=C3F)=O)=C2)=C1)=O"
"mPP-0044" "Amb884" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C(Cl)=C3)=O)=C2)=C1)=O"
"mPP-0058" "Amb924" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"mPP-0059" "Amb930" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCCC3)=O)=C2)=C1)=O"
"mPP-0061" "Amb937" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CC3)=O)=C2)=C1)=O"
"mPP-0062" "Amb950" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3CCCC3)=O)=C2)=C1)=O"
"mPP-0063" "Amb962" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=NC=CC=C3C)=O)=C2)=C1)=O"
"mPP-0064" "Amb890" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4OCC3)=O)=C2)=C1)=O"
"mPP-0066" "Amb579" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)=C1"
"mPP-0067" "Amb583" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)C=C1"
"mPP-0069" "Amb506" NA NA NA "O=C(OC1=CC=CC=C1Br)C2=NOC(C3=CC=C4OCCOC4=C3)=C2"
"mPP-0070" "Amb259" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)C=C1"
"mPP-0071" "Amb538" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)=C1"
"mPP-0072" "Amb369" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=CC(Cl)=C3)=O"
"mPP-0073" "Amb370" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=C(C=C3)Cl)=O"
"mPP-0074" "Amb377" NA NA NA "CC1=CC(NS(=O)(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2OC)=O)=NO1"
"mPP-0075" "Amb074" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(N(C3)C4=CC=CC=C4NC3=O)=O"
"mPP-0036" "Amb244" NA NA NA "OC(C1=NOC(C2=CC=C(C(F)(F)F)C=C2)=C1)=O"
"mPP-0037" "Amb333" NA NA NA "OC(C1=NOC(C2=CC=C(C)C(C)=C2)=C1)=O"
"mPP-0038" "Amb713" NA NA NA "BrC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1"
"mPP-0047" "Amb994" NA NA NA "CCOC(C1=NOC(C2=CSC(C3=CC=CC(Cl)=C3)=N2)=C1)=O"
"mPP-0048" "Amb998" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C3=CC=CC=N3)=O)=N2)=C1)=O"
"mPP-0049" "Amb004" NA NA NA "CCOC(C1=NOC(C2=CSC(NC3=CC=CC=C3)=N2)=C1)=O"
"mPP-0050" "Amb030" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C)=O)=N2)=C1)=O"
"mPP-0051" "Amb453" NA NA NA "OC(C1=NOC(C2=CC=C(C3=CC=CC=C3)C=C2)=C1)=O"
"mPP-0052" "Amb149" NA NA NA "OC(C1=NOC(C2=CC=C(S(=O)(C)=O)C=C2)=C1)=O"
"mPP-0053" "Amb224" NA NA NA "OC(C1=NOC(C2=CC=C(F)C(F)=C2)=C1)=O"
"mPP-0054" "Amb321" NA NA NA "OC(C1=NOC(C2=CC=CC3=C2C=CC=C3)=C1)=O"
"mPP-0055" "Amb322" NA NA NA "BrC1=CC=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0039" "Amb210" NA NA NA "OC(C1=NOC(C2=CC=C3OCCOC3=C2)=C1)=O"
"mPP-0040" "Amb649" NA NA NA "OC(C1=NOC(C2=CC=C3OCOC3=C2)=C1)=O"
"mPP-0105" "LKC098" NA NA NA "O=C(NC1CCCc(c(n2)[nH]c3c2cccc3)c1)c4ccCCC4"
"mPP-0109" "LKE101" NA NA NA "Clc(cc(C(NCCCNc1[nH]c(CCcc2)c2n1)=O)C3)cc3Cl"
"mPP-0110" "LKE21" NA NA NA "O=C(c1[nH]cc(c2ccccc2)n1)Nc3ccccc3"
"mPP-0107" "LKE61" NA NA NA "O=C(NC1ccccc1)c2cc3c(cc2)nO[N]3"
"mPP-0102" "TL4-31" NA NA NA "O=C(Cc(cc1)ccc2c1ccC2)O"
"mPP-0100" "TL4-50.2" NA NA NA "CN(C(C(C1CCc2cCCc2cC1)C(N(C)C)=O)=O)C"
"mPP-0101" "CB-21" NA NA NA "COc(ccc(C(NCCc1cC(c(OCCCN(C)C)c(Br)c1)Br)=O)c2)c2Cl"
"mPP-0108" "CB-26" NA NA NA "COc(ccc(C(NCCc1cC(c(OCCCN(C)C)c(Br)c1)Br)=O)c2)c2C"
"mPP-0106" "MV-I-25" NA NA NA "Clc1cc(Cl)cc(C(NCCc2cCc(OCCCN(C)C)cc2)=O)c1"
"mPP-0113" "PKII-52" NA NA NA "O=C(NCc1ccc([nH]c(N(C)C)n2)c2c1)c3[nH]ccc3"
"mPP-0097" "TL4-32" NA NA NA "c1(CCC2Ccc3c(Ccc3CN4CCCCC4)cC2)ccccC1"
"mPP-0115" "TL4-28" NA NA NA "N1(Cc2cCc3c(ccC3)cc2)CCCCC1"
"mPP-0104" "TL4-30.2" NA NA NA "CCOC(C(c1ccc2cccc2cc1)C(OCC)=O)=O"
"mPP-0094" "TL4-18" NA NA NA "O=C(O)/C=C/c1cc(C2ccccc2)c3c1CCc(CCc4cCCCC4)cC3"
"mPP-0114" "AKIXVI123" NA NA NA "O=c(c(C(F)(F)F)cc1cCc(C(C)C)c2)c3c1c2c(C3NCc4ccC[N]C4)C"
"mPP-0118" "AKIXIII85" NA NA NA "CC(C(CCc1NC2=O)Cc3c1c(Cc3C)c2=O)C"
"mPP-0119" "AKIXIV165" NA NA NA "CC1=Cc(c(c(OCC(O)=O)c2)C(F)(F)F)c3c2cCC(Cc13)=O"
"mPP-0103" "RA-A111" NA NA NA "CC1=Cc(c(c(C(F)(F)F)c2)OCC(O)=O)c3c2cCC(Cc13)=O"
"mPP-0112" "AKIXII33" NA NA NA "N#CC(C#N)=c1ccc(cc(c2C(F)(F)F)OC)c3c2cc(C)c3c1"
"mPP-0121" "RPI-149" NA NA NA "CCOC(c1c(C)c(O)nc(C(OCC)OCC)n1)=O"
"mPP-0122" "RPI-155" NA NA NA "FC(F)(c1cCCc(COC(c2cc(COC3CCCCO3)CC(C(O)=O)c2)=O)c1)F"
"mPP-0116" "RPI-175" NA NA NA "CCOC(c1nc(COc2ccc(OC)cc2)nc(O)c1C)=O"
"mPP-0099" "RPI-191" NA NA NA "CCOC(c1nc(COc2ccc(OC)cc2)nc(Cl)c1C)=O"
"mPP-0111" "RPII-015" NA NA NA "O=C(c1c(C)c(O)nc(COC2Ccc(OC)cC2)n1)O"
"mPP-0093" "AKIXVII167" NA NA NA "O=C(NCCNc1c2c3c(CC(C2=O)C(F)(F)F)CCc(C(C)C)cc3c1C)OCc4cccCc4"
"mPP-0090" "AKIXVIII55" NA NA NA "O=c(c(C(F)(F)F)cc1ccc(C(C)C)c2)c3c1c2c(C)c3NCCCn4cncc4"
"mPP-0095" "IAT-31-II" NA NA NA "O=c1c(Cc2c(c1c(N3CCOCC3)C4C)C4cc(C(C)C)cc2)C(F)(F)F"
"mPP-0096" "IAT-72" NA NA NA "O=C1C(Cc2c3c1c(NCC(OC)OC)C(C)C3cc(C(C)C)cc2)C(F)(F)F"
"mPP-0120" "IAT-98-II" NA NA NA "O=C1c(C(F)(F)F)cc2c3c1C(Nc4cCCCC4)c(C)c3Cc(C(C)C)cC2"
